ts,datetime,MidPoint,MidPoint_500ms,MidPoint_1000ms
1345040197000000000,2012-08-15T09:16:37.000000000,2352.3,2352.3,2352.3
1345040197500000000,2012-08-15T09:16:37.500000000,2352.3,2352.3,2352.3
1345040198500000000,2012-08-15T09:16:38.500000000,2352.3,2352.5,2352.5
1345040199000000000,2012-08-15T09:16:39.000000000,2352.5,2352.5,2352.5
1345040199500000000,2012-08-15T09:16:39.500000000,2352.5,2352.5,2352.4
1345040200000000000,2012-08-15T09:16:40.000000000,2352.5,2352.4,2352.4
1345040200500000000,2012-08-15T09:16:40.500000000,2352.4,2352.4,2352.4
1345040201000000000,2012-08-15T09:16:41.000000000,2352.4,2352.4,2352.4
1345040201500000000,2012-08-15T09:16:41.500000000,2352.4,2352.4,2352.3
1345040202000000000,2012-08-15T09:16:42.000000000,2352.4,2352.3,2352.4
1345040202500000000,2012-08-15T09:16:42.500000000,2352.3,2352.4,2352.4
1345040203500000000,2012-08-15T09:16:43.500000000,2352.4,2352.4,2352.3
1345040204000000000,2012-08-15T09:16:44.000000000,2352.4,2352.3,2352.4
1345040204500000000,2012-08-15T09:16:44.500000000,2352.3,2352.4,2352.2
1345040205000000000,2012-08-15T09:16:45.000000000,2352.4,2352.2,2352.2
1345040205500000000,2012-08-15T09:16:45.500000000,2352.2,2352.2,2352.2
1345040206500000000,2012-08-15T09:16:46.500000000,2352.2,2352.3,2352.5
1345040207000000000,2012-08-15T09:16:47.000000000,2352.3,2352.5,2352.5
1345040207500000000,2012-08-15T09:16:47.500000000,2352.5,2352.5,2352.5
1345040208000000000,2012-08-15T09:16:48.000000000,2352.5,2352.5,2352.5
1345040208500000000,2012-08-15T09:16:48.500000000,2352.5,2352.5,2352.5
1345040209000000000,2012-08-15T09:16:49.000000000,2352.5,2352.5,2352.5
1345040209500000000,2012-08-15T09:16:49.500000000,2352.5,2352.5,2352.5
1345040210000000000,2012-08-15T09:16:50.000000000,2352.5,2352.5,2352.5
1345040210500000000,2012-08-15T09:16:50.500000000,2352.5,2352.5,2352.5
1345040211000000000,2012-08-15T09:16:51.000000000,2352.5,2352.5,2352.5
1345040211500000000,2012-08-15T09:16:51.500000000,2352.5,2352.5,2352.5
1345040212000000000,2012-08-15T09:16:52.000000000,2352.5,2352.5,2352.5
1345040212500000000,2012-08-15T09:16:52.500000000,2352.5,2352.5,2352.5
1345040213000000000,2012-08-15T09:16:53.000000000,2352.5,2352.5,2352.7
1345040213500000000,2012-08-15T09:16:53.500000000,2352.5,2352.7,2352.7
1345040214000000000,2012-08-15T09:16:54.000000000,2352.7,2352.7,2352.7
1345040214500000000,2012-08-15T09:16:54.500000000,2352.7,2352.7,2352.7
1345040215000000000,2012-08-15T09:16:55.000000000,2352.7,2352.7,2352.9
1345040215500000000,2012-08-15T09:16:55.500000000,2352.7,2352.9,2352.9
1345040216000000000,2012-08-15T09:16:56.000000000,2352.9,2352.9,2352.9
1345040216500000000,2012-08-15T09:16:56.500000000,2352.9,2352.9,2352.9
1345040217000000000,2012-08-15T09:16:57.000000000,2352.9,2352.9,2352.8
1345040217500000000,2012-08-15T09:16:57.500000000,2352.9,2352.8,2352.7
1345040218000000000,2012-08-15T09:16:58.000000000,2352.8,2352.7,2352.7
1345040218500000000,2012-08-15T09:16:58.500000000,2352.7,2352.7,2352.7
1345040219000000000,2012-08-15T09:16:59.000000000,2352.7,2352.7,2352.7
1345040219500000000,2012-08-15T09:16:59.500000000,2352.7,2352.7,2352.5
1345040220000000000,2012-08-15T09:17:00.000000000,2352.7,2352.5,2352.5
1345040220500000000,2012-08-15T09:17:00.500000000,2352.5,2352.5,2352.6
1345040221000000000,2012-08-15T09:17:01.000000000,2352.5,2352.6,2352.6
1345040221500000000,2012-08-15T09:17:01.500000000,2352.6,2352.6,2352.7
1345040222000000000,2012-08-15T09:17:02.000000000,2352.6,2352.7,2352.7
1345040222500000000,2012-08-15T09:17:02.500000000,2352.7,2352.7,2352.9
1345040223000000000,2012-08-15T09:17:03.000000000,2352.7,2352.9,2352.9
1345040223500000000,2012-08-15T09:17:03.500000000,2352.9,2352.9,2352.9
1345040224000000000,2012-08-15T09:17:04.000000000,2352.9,2352.9,2352.7
1345040224500000000,2012-08-15T09:17:04.500000000,2352.9,2352.7,2352.7
1345040225000000000,2012-08-15T09:17:05.000000000,2352.7,2352.7,2352.8
1345040225500000000,2012-08-15T09:17:05.500000000,2352.7,2352.8,2352.9
1345040226000000000,2012-08-15T09:17:06.000000000,2352.8,2352.9,2352.8
1345040226500000000,2012-08-15T09:17:06.500000000,2352.9,2352.8,2352.8
1345040227000000000,2012-08-15T09:17:07.000000000,2352.8,2352.8,2352.7
1345040227500000000,2012-08-15T09:17:07.500000000,2352.8,2352.7,2352.7
1345040228000000000,2012-08-15T09:17:08.000000000,2352.7,2352.7,2352.5
1345040228500000000,2012-08-15T09:17:08.500000000,2352.7,2352.5,2352.5
1345040229500000000,2012-08-15T09:17:09.500000000,2352.5,2352.5,2352.5
1345040230000000000,2012-08-15T09:17:10.000000000,2352.5,2352.5,2352.5
1345040230500000000,2012-08-15T09:17:10.500000000,2352.5,2352.5,2352.5
1345040231000000000,2012-08-15T09:17:11.000000000,2352.5,2352.5,2352.5
1345040231500000000,2012-08-15T09:17:11.500000000,2352.5,2352.5,2352.5
1345040232000000000,2012-08-15T09:17:12.000000000,2352.5,2352.5,2352.5
1345040232500000000,2012-08-15T09:17:12.500000000,2352.5,2352.5,2352.5
1345040233500000000,2012-08-15T09:17:13.500000000,2352.5,2352.5,2352.3
1345040234000000000,2012-08-15T09:17:14.000000000,2352.5,2352.3,2352.3
1345040234500000000,2012-08-15T09:17:14.500000000,2352.3,2352.3,2352.3
1345040235000000000,2012-08-15T09:17:15.000000000,2352.3,2352.3,2352.3
1345040235500000000,2012-08-15T09:17:15.500000000,2352.3,2352.3,2352.3
1345040236000000000,2012-08-15T09:17:16.000000000,2352.3,2352.3,2352.3
1345040236500000000,2012-08-15T09:17:16.500000000,2352.3,2352.3,2352.3
1345040237000000000,2012-08-15T09:17:17.000000000,2352.3,2352.3,2352.3
1345040237500000000,2012-08-15T09:17:17.500000000,2352.3,2352.3,2352.3
1345040238000000000,2012-08-15T09:17:18.000000000,2352.3,2352.3,2352.3
1345040238500000000,2012-08-15T09:17:18.500000000,2352.3,2352.3,2352.3
1345040239000000000,2012-08-15T09:17:19.000000000,2352.3,2352.3,2352.3
1345040239500000000,2012-08-15T09:17:19.500000000,2352.3,2352.3,2352.3
1345040240000000000,2012-08-15T09:17:20.000000000,2352.3,2352.3,2352.2
1345040240500000000,2012-08-15T09:17:20.500000000,2352.3,2352.2,2352.1
1345040241000000000,2012-08-15T09:17:21.000000000,2352.2,2352.1,2352.2
1345040241500000000,2012-08-15T09:17:21.500000000,2352.1,2352.2,2352.1
1345040242000000000,2012-08-15T09:17:22.000000000,2352.2,2352.1,2352.1
1345040242500000000,2012-08-15T09:17:22.500000000,2352.1,2352.1,2352.3
1345040243000000000,2012-08-15T09:17:23.000000000,2352.1,2352.3,2352.3
1345040243500000000,2012-08-15T09:17:23.500000000,2352.3,2352.3,2352.3
1345040244000000000,2012-08-15T09:17:24.000000000,2352.3,2352.3,2352.3
1345040244500000000,2012-08-15T09:17:24.500000000,2352.3,2352.3,2352.3
1345040245000000000,2012-08-15T09:17:25.000000000,2352.3,2352.3,2352.3
1345040245500000000,2012-08-15T09:17:25.500000000,2352.3,2352.3,2352.2
1345040246000000000,2012-08-15T09:17:26.000000000,2352.3,2352.2,2352.2
1345040246500000000,2012-08-15T09:17:26.500000000,2352.2,2352.2,2352.2
1345040247000000000,2012-08-15T09:17:27.000000000,2352.2,2352.2,2352.2
1345040247500000000,2012-08-15T09:17:27.500000000,2352.2,2352.2,2352.2
1345040248000000000,2012-08-15T09:17:28.000000000,2352.2,2352.2,2352.2
1345040248500000000,2012-08-15T09:17:28.500000000,2352.2,2352.2,2352.1
