pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
10,0.2,0.38,457290,89,5134,0.31,1.35,54.9,-1.05,40.95,2552,-0.28,-1.31,55.85,1.13,40.01,2582
2,0.2,0.39,542750,110,4917,0.37,0.68,70.57,-0.51,21.61,2453,-0.37,-0.67,71.1,0.51,21.79,2464
5,0.2,0.39,442590,90,4917,0.3,1.02,57.24,-0.77,37.1,2453,-0.3,-0.98,58.85,0.81,33.73,2464
10,0.2,0.39,435750,89,4917,0.31,1.35,54.79,-1.05,41.09,2453,-0.28,-1.32,55.88,1.14,40.18,2464
2,0.21,0,1632302,94,17440,0.32,0.54,71.59,-0.39,17.36,8663,-0.31,-0.52,71.64,0.4,16.66,8777
5,0.21,0,1391790,80,17440,0.27,0.76,59.67,-0.58,31.32,8663,-0.26,-0.72,60.27,0.59,29.99,8777
10,0.21,0,1414890,81,17440,0.29,1.03,55.71,-0.76,37.3,8663,-0.25,-0.96,56.65,0.79,36.8,8777
2,0.21,0.01,1632032,94,17439,0.32,0.54,71.59,-0.39,17.36,8662,-0.31,-0.52,71.64,0.4,16.66,8777
5,0.21,0.01,1391310,80,17439,0.27,0.76,59.66,-0.58,31.32,8662,-0.26,-0.72,60.27,0.59,29.99,8777
10,0.21,0.01,1414170,81,17439,0.29,1.03,55.7,-0.76,37.3,8662,-0.25,-0.96,56.65,0.79,36.8,8777
2,0.21,0.02,1631042,94,17435,0.32,0.54,71.59,-0.39,17.37,8661,-0.31,-0.52,71.63,0.4,16.66,8774
5,0.21,0.02,1390620,80,17435,0.27,0.76,59.66,-0.58,31.32,8661,-0.26,-0.72,60.28,0.59,29.99,8774
10,0.21,0.02,1414980,81,17435,0.29,1.03,55.7,-0.76,37.31,8661,-0.25,-0.96,56.66,0.79,36.79,8774
2,0.21,0.03,1631042,94,17427,0.32,0.54,71.62,-0.39,17.34,8656,-0.31,-0.52,71.62,0.4,16.67,8771
5,0.21,0.03,1389690,80,17427,0.27,0.76,59.67,-0.58,31.31,8656,-0.26,-0.72,60.28,0.59,29.99,8771
10,0.21,0.03,1413750,81,17427,0.29,1.03,55.71,-0.76,37.3,8656,-0.25,-0.96,56.65,0.79,36.79,8771
2,0.21,0.04,1629512,94,17408,0.32,0.54,71.62,-0.39,17.36,8646,-0.31,-0.52,71.63,0.4,16.67,8762
5,0.21,0.04,1388700,80,17408,0.27,0.76,59.67,-0.58,31.33,8646,-0.26,-0.72,60.29,0.59,29.98,8762
10,0.21,0.04,1411080,81,17408,0.29,1.03,55.68,-0.76,37.35,8646,-0.25,-0.96,56.63,0.79,36.82,8762
2,0.21,0.05,1626842,94,17377,0.32,0.54,71.6,-0.39,17.39,8629,-0.31,-0.52,71.63,0.4,16.7,8748
5,0.21,0.05,1384140,80,17377,0.27,0.76,59.66,-0.58,31.36,8629,-0.26,-0.72,60.28,0.59,30.01,8748
10,0.21,0.05,1407030,81,17377,0.29,1.03,55.67,-0.76,37.34,8629,-0.25,-0.96,56.61,0.79,36.85,8748
2,0.21,0.06,1622642,94,17306,0.32,0.54,71.56,-0.39,17.44,8590,-0.31,-0.52,71.59,0.4,16.73,8716
5,0.21,0.06,1379040,80,17306,0.27,0.76,59.63,-0.58,31.44,8590,-0.26,-0.72,60.25,0.59,30.09,8716
10,0.21,0.06,1402680,81,17306,0.29,1.03,55.65,-0.76,37.4,8590,-0.25,-0.96,56.57,0.79,36.92,8716
2,0.21,0.07,1616732,94,17196,0.32,0.54,71.57,-0.39,17.49,8532,-0.31,-0.53,71.62,0.4,16.77,8664
5,0.21,0.07,1370370,80,17196,0.27,0.76,59.59,-0.58,31.54,8532,-0.26,-0.73,60.23,0.59,30.16,8664
